qid, Len, Den, P31, P2561, P8260, P1071, P729
,"CHANCELLOR","Steam Trawler built in Aberdeen in 1904",Q11446,"CHANCELLOR",101095,Q36405,1904
,"CHARITY","Drifter built in Aberdeen in 1901",Q11446,"CHARITY",99682,Q36405,1901
,"CHARLES","Steam Trawler built in Aberdeen in 1910",Q11446,"CHARLES",101196,Q36405,1910
,"CHARLES BLIGHT","Steam Trawler built in Aberdeen in 1919",Q11446,"CHARLES BLIGHT",101397,Q36405,1919
,"CHARLES CHALMERS","Brig built in Aberdeen in 1874",Q11446,"CHARLES CHALMERS",99413,Q36405,1874
,"CHARLES H. MERZ","Collier built in Aberdeen in 1955",Q11446,"CHARLES H. MERZ",101563,Q36405,1955
,"CHARLES HORSFALL","Ship built in Aberdeen in 1855",Q11446,"CHARLES HORSFALL",100114,Q36405,1855
,"CHARLOTTA","Ship built in Aberdeen in 1802",Q11446,"CHARLOTTA",152160,Q36405,1802
,"CHARLOTTE","Brig built in Aberdeen in 1839",Q11446,"CHARLOTTE",100713,Q36405,1839
,"CHARLOTTE","Brig built in Aberdeen in 1802",Q11446,"CHARLOTTE",182664,Q36405,1802
,"CHARMING BETSY","Brig built in Aberdeen in 1765",Q11446,"CHARMING BETSY",153445,Q36405,1765
,"CHARMOUTH","Trawler built in Aberdeen in 1910",Q11446,"CHARMOUTH",99808,Q36405,1910
,"CHEPICA","Ship built in Aberdeen in 1860",Q11446,"CHEPICA",100141,Q36405,1860
,"CHESTNUT","Steam Herring Drifter built in Aberdeen in 1914",Q11446,"CHESTNUT",100417,Q36405,1914
,"CHILDE HAROLD","Brigantine built in Aberdeen in 1828",Q11446,"CHILDE HAROLD",99973,Q36405,1828
,"CHILDREN'S TRUST","Steam Herring Drifter built in Aberdeen in 1907",Q11446,"CHILDREN'S TRUST",99777,Q36405,1907
,"CHILENA","Clipper built in Aberdeen in 1842",Q11446,"CHILENA",99340,Q36405,1842
,"CHINKIANG","Trawler built in Aberdeen in 1896",Q11446,"CHINKIANG",100282,Q36405,1896
,"CHIP SHING","Steamer, Cargo built in Aberdeen in 1906",Q11446,"CHIP SHING",101104,Q36405,1906
,"CHOICE","Steam Herring Drifter built in Aberdeen in 1904",Q11446,"CHOICE",99732,Q36405,1904
,"CHOICE","Trawler built in Aberdeen in 1905",Q11446,"CHOICE",100333,Q36405,1905
,"CHOY SANG","Steamer, Cargo built in Aberdeen in 1888",Q11446,"CHOY SANG",100918,Q36405,1888
,"CHRISTIAN","Schooner built in Aberdeen in 1841",Q11446,"CHRISTIAN",100040,Q36405,1841
,"CHRISTIANA THOMPSON","Ship built in Aberdeen in 1866",Q11446,"CHRISTIANA THOMPSON",99397,Q36405,1866
,"CHRISTINA","Barque built in Aberdeen in 1840",Q11446,"CHRISTINA",99512,Q36405,1840
,"CHRISTINA FRASER","Ship built in Aberdeen in 1925",Q11446,"CHRISTINA FRASER",99918,Q36405,1925
,"CHRYSOLITE","Ship built in Aberdeen in 1851",Q11446,"CHRYSOLITE",100098,Q36405,1851
,"CHRYSOPRASUS","Liner built in Aberdeen in 1907",Q11446,"CHRYSOPRASUS",101142,Q36405,1907
,"CHURCHILL","Trawler built in Aberdeen in 1948",Q11446,"CHURCHILL",100642,Q36405,1948
,"CHURCHILL","Twin Screw Tug built in Aberdeen in 1883",Q11446,"CHURCHILL",100908,Q36405,1883
,"CIENFUEGOS","Vessel, Cargo built in Aberdeen in 1959",Q11446,"CIENFUEGOS",101586,Q36405,1959
,"CINCO","Steam Trawler built in Aberdeen in 1909",Q11446,"CINCO",101176,Q36405,1909
,"CIRCASSIAN","Brigantine built in Aberdeen in 1835",Q11446,"CIRCASSIAN",99488,Q36405,1835
,"CISSY","Ship built in Aberdeen in 1859",Q11446,"CISSY",99562,Q36405,1859
,"CITIZEN","Brigantine built in Aberdeen in 1843",Q11446,"CITIZEN",99526,Q36405,1843
,"CITY OF ABERDEEN","Brigantine built in Aberdeen in 1826",Q11446,"CITY OF ABERDEEN",99459,Q36405,1826
,"CITY OF ABERDEEN","Ship built in Aberdeen in 1862",Q11446,"CITY OF ABERDEEN",99579,Q36405,1862
,"CITY OF ABERDEEN","Ship built in Aberdeen in 1899",Q11446,"CITY OF ABERDEEN",99659,Q36405,1899
,"CITY OF ABERDEEN","Steam Trawler built in Aberdeen in 1897",Q11446,"CITY OF ABERDEEN",100288,Q36405,1897
,"CITY OF BRUSSELS","Cargo built in Aberdeen in 1947",Q11446,"CITY OF BRUSSELS",99173,Q36405,1947
,"CITY OF HAMILTON","Ship built in Aberdeen in 1850",Q11446,"CITY OF HAMILTON",100092,Q36405,1850
,"CITY OF QUEBEC","Ship built in Aberdeen in 1856",Q11446,"CITY OF QUEBEC",99566,Q36405,1856
,"CLAN GORDON","Steam Trawler built in Aberdeen in 1903",Q11446,"CLAN GORDON",101084,Q36405,1903
,"CLANSMAN","Ferry, Passenger, Vehicle built in Aberdeen in 1964",Q11446,"CLANSMAN",101626,Q36405,1964
,"CLARA SAYERS","Barque built in Aberdeen in 1862",Q11446,"CLARA SAYERS",100146,Q36405,1862
,"CLARION","Steam Herring Drifter built in Aberdeen in 1908",Q11446,"CLARION",99783,Q36405,1908
,"CLAVERHOUSE","Barque built in Aberdeen in 1866",Q11446,"CLAVERHOUSE",118688,Q36405,1866
,"CLEARWAY","Dredger built in Aberdeen in 1927",Q11446,"CLEARWAY",100519,Q36405,1927
,"CLEMENTINA","Steam Trawler built in Aberdeen in 1903",Q11446,"CLEMENTINA",100325,Q36405,1903
,"CLEOPATRA","Barque built in Aberdeen in 1876",Q11446,"CLEOPATRA",100741,Q36405,1876
,"CLEOPATRA","Barque built in Aberdeen in 1875",Q11446,"CLEOPATRA",182594,Q36405,1875
,"CLIFFSIDER","Coaster built in Aberdeen in 1920",Q11446,"CLIFFSIDER",99066,Q36405,1920
,"CLIO","Brig built in Aberdeen in 1839",Q11446,"CLIO",152224,Q36405,1839
,"CLOUD","Steam Herring Drifter built in Aberdeen in 1918",Q11446,"CLOUD",99892,Q36405,1918
,"CLOVA","Trawler built in Aberdeen in 1960",Q11446,"CLOVA",99268,Q36405,1960
,"CLOVELLA","Trawler built in Aberdeen in 1957",Q11446,"CLOVELLA",99239,Q36405,1957
,"CLUNIE","Screw Cargo Steamer built in Aberdeen in 1889",Q11446,"CLUNIE",99618,Q36405,1889
,"CLUPEA","Vessel, Fishery Research built in Aberdeen in 1968",Q11446,"CLUPEA",101654,Q36405,1968
,"CLUPEA","Steam built in Aberdeen in 1945",Q11446,"CLUPEA",152961,Q36405,1945
,"CLYDESDALE","Trawler built in Aberdeen in 1907",Q11446,"CLYDESDALE",101808,Q36405,1907
,"COALAPOLIS","Tug built in Aberdeen in 1923",Q11446,"COALAPOLIS",100496,Q36405,1923
,"COALISLAND","Cargo built in Aberdeen in 1921",Q11446,"COALISLAND",100500,Q36405,1921
,"COCK OF THE NORTH","Smack built in Aberdeen in 1835",Q11446,"COCK OF THE NORTH",99988,Q36405,1835
,"COIMBRA","Screw Steamer built in Aberdeen in 1890",Q11446,"COIMBRA",100258,Q36405,1890
,"COLD SNAP","Steam Herring Drifter built in Aberdeen in 1918",Q11446,"COLD SNAP",99891,Q36405,1918
,"COLINA","Vessel, Cargo (Diesel) built in Aberdeen in 1960",Q11446,"COLINA",101594,Q36405,1960
,"COLLEEN BAWN","Ship built in Aberdeen in 1861",Q11446,"COLLEEN BAWN",100145,Q36405,1861
,"COLLINGWOOD","Ship built in Aberdeen in 1872",Q11446,"COLLINGWOOD",99410,Q36405,1872
,"COLLOONEY","Coaster built in Aberdeen in 1920",Q11446,"COLLOONEY",99053,Q36405,1920
,"COLLOONEY","Barque built in Aberdeen in 1844",Q11446,"COLLOONEY",100064,Q36405,1844
,"COLLYNIE","Coaster built in Aberdeen in 1892",Q11446,"COLLYNIE",100947,Q36405,1892
,"COLOSO","Motor Tug (Diesel) built in Aberdeen in 1961",Q11446,"COLOSO",101611,Q36405,1961
,"COLTSFOOT","Corvette built in Aberdeen in 1941",Q11446,"COLTSFOOT",100593,Q36405,1941
,"COLUMBA","Ship built in Aberdeen in 1865",Q11446,"COLUMBA",99395,Q36405,1865
,"COLUMBA","Ferry, Passenger, Vehicle built in Aberdeen in 1964",Q11446,"COLUMBA",101627,Q36405,1964
,"COLUMBIA","Schooner built in Aberdeen in 1825",Q11446,"COLUMBIA",99455,Q36405,1825
,"COLUMBIA","Steam Trawler built in Aberdeen in 1902",Q11446,"COLUMBIA",101061,Q36405,1902
,"COLUMBINE","Brig built in Aberdeen in 1839",Q11446,"COLUMBINE",100023,Q36405,1839
,"COMET","Snow built in Aberdeen in 1812",Q11446,"COMET",136803,Q36405,1812
,"COMMERCE","Schooner built in Aberdeen in 1838",Q11446,"COMMERCE",100007,Q36405,1838
,"COMMERCIAL","Brig built in Aberdeen in 1815",Q11446,"COMMERCIAL",152206,Q36405,1815
,"COMMISSARY","Ship built in Aberdeen in 1868",Q11446,"COMMISSARY",100174,Q36405,1868
,"COMMISSIONER","Steam Trawler built in Aberdeen in 1905",Q11446,"COMMISSIONER",101098,Q36405,1905
,"COMMODORE","Steam Herring Drifter built in Aberdeen in 1903",Q11446,"COMMODORE",99704,Q36405,1903
,"COMMODORE","Brigantine built in Aberdeen in 1837",Q11446,"COMMODORE",99998,Q36405,1837
,"COMMODORE","Ship built in Aberdeen in 1861",Q11446,"COMMODORE",119841,Q36405,1861
,"COMPANION","Steam Trawler built in Aberdeen in 1903",Q11446,"COMPANION",101075,Q36405,1903
,"COMRADE","Steam Trawler built in Aberdeen in 1906",Q11446,"COMRADE",101117,Q36405,1906
,"CONCORD","Hermaphrodite built in Aberdeen in 1838",Q11446,"CONCORD",99497,Q36405,1838
,"CONCORD","Snow built in Aberdeen in 1815",Q11446,"CONCORD",112256,Q36405,1815
,"CONDOR","Trawler built in Aberdeen in 1900",Q11446,"CONDOR",100300,Q36405,1900
,"CONDUCTOR","Steam Trawler built in Aberdeen in 1903",Q11446,"CONDUCTOR",101074,Q36405,1903
,"CONFEDERATE","Steam Trawler built in Aberdeen in 1913",Q11446,"CONFEDERATE",100408,Q36405,1913
,"CONFIDENCE","Schooner built in Aberdeen in 1825",Q11446,"CONFIDENCE",99457,Q36405,1825
,"CONQUEROR","Ship built in Aberdeen in 1850",Q11446,"CONQUEROR",100094,Q36405,1850
,"CONQUEROR","Freezer Stern Trawler built in Aberdeen in 1965",Q11446,"CONQUEROR",101639,Q36405,1965
,"CONSORT","Clipper built in Aberdeen in 1845",Q11446,"CONSORT",99347,Q36405,1845
,"CONTENDER","Steam Trawler built in Aberdeen in 1930",Q11446,"CONTENDER",101448,Q36405,1930
,"CONTEST","Salvage Tug built in Aberdeen in 1931",Q11446,"CONTEST",100552,Q36405,1931
,"CONTEST","Tug built in Aberdeen in 1933",Q11446,"CONTEST",100560,Q36405,1933
,"CONTROLLER","Trawler built in Aberdeen in 1913",Q11446,"CONTROLLER",100407,Q36405,1913
,"COPENHAGEN","Trawler built in Aberdeen in 1960",Q11446,"COPENHAGEN",99284,Q36405,1960
,"COPIA","Trawler built in Aberdeen in 1911",Q11446,"COPIA",99825,Q36405,1911
,"COPTHORN","Cargo built in Aberdeen in 1923",Q11446,"COPTHORN",99076,Q36405,1923
,"COPTHORNE","Cargo Coaster built in Aberdeen in 1923",Q11446,"COPTHORNE",152985,Q36405,1923
,"CORDELLA","Trawler built in Aberdeen in 1948",Q11446,"CORDELLA",99180,Q36405,1948
,"COREOPSIS","Steam Herring Drifter built in Aberdeen in 1911",Q11446,"COREOPSIS",100386,Q36405,1911
,"CORFEN","Collier-Steamer built in Aberdeen in 1944",Q11446,"CORFEN",101508,Q36405,1944
,"CORIANDER","Corvette built in Aberdeen in 1941",Q11446,"CORIANDER",101488,Q36405,1941
,"CORMOOR","Collier built in Aberdeen in 1953",Q11446,"CORMOOR",101553,Q36405,1953
,"CORMORANT I","Trawler built in Aberdeen in 1908",Q11446,"CORMORANT I",100365,Q36405,1908
,"CORNELIUS CARROLL","Trawler built in Aberdeen in 1918",Q11446,"CORNELIUS CARROLL",100457,Q36405,1918
,"CORSAIR","Schooner built in Aberdeen in 1827",Q11446,"CORSAIR",99464,Q36405,1827
,"CORSAIR","Schooner built in Aberdeen in 1828",Q11446,"CORSAIR",100793,Q36405,1828
,"CORSEA","Collier built in Aberdeen in 1957",Q11446,"CORSEA",101574,Q36405,1957
,"CORSICAN","Brigantine built in Aberdeen in 1827",Q11446,"CORSICAN",99970,Q36405,1827
,"CORTES","Steam Trawler built in Aberdeen in 1899",Q11446,"CORTES",101022,Q36405,1899
,"COTE D'ARGENT","Trawler built in Aberdeen in 1946",Q11446,"COTE D'ARGENT",99175,Q36405,1946
,"COTE D'OPALE","Trawler built in Aberdeen in 1946",Q11446,"COTE D'OPALE",99174,Q36405,1946
,"COULARDBANK","Ship built in Aberdeen in 1910",Q11446,"COULARDBANK",99804,Q36405,1910
,"COULNAKYLE","Ship built in Aberdeen in 1862",Q11446,"COULNAKYLE",100151,Q36405,1862
,"COUNTESS OF ABOYNE","Brig built in Aberdeen in 1795",Q11446,"COUNTESS OF ABOYNE",111117,Q36405,1795
,"COUNTESS OF FINDLATER","Sloop built in Aberdeen in 1787",Q11446,"COUNTESS OF FINDLATER",182649,Q36405,1787
,"COUNTESS OF KINTORE","Ship built in Aberdeen in 1866",Q11446,"COUNTESS OF KINTORE",99577,Q36405,1866
,"COUNTESS OF SEAFIELD","Ship built in Aberdeen in 1848",Q11446,"COUNTESS OF SEAFIELD",99539,Q36405,1848
,"COUNTESSWELLS","Trawler built in Aberdeen in 1960",Q11446,"COUNTESSWELLS",101596,Q36405,1960
,"COUNTESSWELLS","Ship built in Aberdeen in 1959",Q11446,"COUNTESSWELLS",152218,Q36405,1959
,"COURAGE","Purse Seiner built in Aberdeen in 1974",Q11446,"COURAGE",101678,Q36405,1974
,"COURIER","Smack built in Aberdeen in 1825",Q11446,"COURIER",100691,Q36405,1825
,"COVESEA","Steam Herring Drifter built in Aberdeen in 1909",Q11446,"COVESEA",100370,Q36405,1909
,"CRAIG GOWAN","Trawler built in Aberdeen in 1960",Q11446,"CRAIG GOWAN",99265,Q36405,1960
,"CRAIG GOWAN","Liner built in Aberdeen in 1896",Q11446,"CRAIG GOWAN",100991,Q36405,1896
,"CRAIG GOWAN","Liner built in Aberdeen in 1897",Q11446,"CRAIG GOWAN",101001,Q36405,1897
,"CRAIG MILLAR","Trawler built in Aberdeen in 1896",Q11446,"CRAIG MILLAR",113288,Q36405,1896
,"CRAIG-BO","Ship built in Aberdeen in 1909",Q11446,"CRAIG-BO",99799,Q36405,1909
,"CRAIGCOILLEACH","Trawler built in Aberdeen in 1917",Q11446,"CRAIGCOILLEACH",100452,Q36405,1917
,"CRAIGCOILLEACH","Ship built in Aberdeen in 1917",Q11446,"CRAIGCOILLEACH",113002,Q36405,1917
,"CRAIGELLACHIE","Liner built in Aberdeen in 1896",Q11446,"CRAIGELLACHIE",100990,Q36405,1896
,"CRAIGENDARROCH","Ship built in Aberdeen in 1870",Q11446,"CRAIGENDARROCH",100731,Q36405,1870
,"CRAIGEWAN","Steam Trawler built in Aberdeen in 1910",Q11446,"CRAIGEWAN",101191,Q36405,1910
,"CRAIGIEVAR","Brig built in Aberdeen in 1825",Q11446,"CRAIGIEVAR",99964,Q36405,1825
,"CRAIGIEVAR","Liner built in Aberdeen in 1896",Q11446,"CRAIGIEVAR",100993,Q36405,1896
,"CRAIGLYNNE","Trawler built in Aberdeen in 1960",Q11446,"CRAIGLYNNE",99266,Q36405,1960
,"CRAIGMILLAR","Liner built in Aberdeen in 1896",Q11446,"CRAIGMILLAR",100992,Q36405,1896
,"CRAIGMORE","Steam Trawler built in Aberdeen in 1916",Q11446,"CRAIGMORE",101312,Q36405,1916
,"CRASSULA","Steam Trawler built in Aberdeen in 1935",Q11446,"CRASSULA",101468,Q36405,1935
,"CRATHIE","Trawler built in Aberdeen in 1911",Q11446,"CRATHIE",99814,Q36405,1911
,"CRATHIE","Steam Trawler built in Aberdeen in 1916",Q11446,"CRATHIE",101789,Q36405,1916
,"CRESCENT MOON","Drifter built in Aberdeen in 1918",Q11446,"CRESCENT MOON",99893,Q36405,1918
,"CRESTED COCK","Steam Tug built in Aberdeen in 1930",Q11446,"CRESTED COCK",100541,Q36405,1930
,"CRESTED COCK","Screw Tug - Steam built in Aberdeen in 1935",Q11446,"CRESTED COCK",100572,Q36405,1935
,"CRETEHATCH","Tug built in Aberdeen in 1920",Q11446,"CRETEHATCH",100838,Q36405,1920
,"CRETETORRENT","Barge built in Aberdeen in 1919",Q11446,"CRETETORRENT",100839,Q36405,1919
,"CRETETREE","Barge built in Aberdeen in 1919",Q11446,"CRETETREE",100840,Q36405,1919
,"CRIMOND","Steam Trawler built in Aberdeen in 1899",Q11446,"CRIMOND",101020,Q36405,1899
,"CRIMONMOGATE","Brig built in Aberdeen in 1816",Q11446,"CRIMONMOGATE",135086,Q36405,1816
,"CRISCILLA","Freezer Stern Trawler built in Aberdeen in 1966",Q11446,"CRISCILLA",101645,Q36405,1966
,"CROCUS","Steam Trawler built in Aberdeen in 1900",Q11446,"CROCUS",101036,Q36405,1900
,"CROMARTY","Fleet Tender built in Aberdeen in 1970",Q11446,"CROMARTY",99320,Q36405,1970
,"CROMARTY FIRTH","Cargo built in Aberdeen in 1937",Q11446,"CROMARTY FIRTH",99121,Q36405,1937
,"CROMDALE","Trawler built in Aberdeen in 1969",Q11446,"CROMDALE",101736,Q36405,1969
,"CRUISER","Tug built in Aberdeen in 1953",Q11446,"CRUISER",100662,Q36405,1953
,"CRUISER","Launch built in Aberdeen in 1887",Q11446,"CRUISER",100921,Q36405,1887
,"CRUISER","Steam Trawler built in Aberdeen in 1898",Q11446,"CRUISER",101008,Q36405,1898
,"CRUSADER","Barque built in Aberdeen in 1840",Q11446,"CRUSADER",100025,Q36405,1840
,"CRYSTAL","Barque built in Aberdeen in 1872",Q11446,"CRYSTAL",100734,Q36405,1872
,"CUATRO","Steam Trawler built in Aberdeen in 1908",Q11446,"CUATRO",101165,Q36405,1908
,"CULBLEAN","Trawler built in Aberdeen in 1911",Q11446,"CULBLEAN",99812,Q36405,1911
,"CULEX","Steam Tug built in Aberdeen in 1924",Q11446,"CULEX",100510,Q36405,1924
,"CURLER","Screw Cargo Steamer built in Aberdeen in 1891",Q11446,"CURLER",99622,Q36405,1891
,"CURLEW","Schooner built in Aberdeen in 1847",Q11446,"CURLEW",100083,Q36405,1847
,"CUZCO","Barque built in Aberdeen in 1859",Q11446,"CUZCO",99383,Q36405,1859
,"CYCLAMEN","Corvette built in Aberdeen in 1940",Q11446,"CYCLAMEN",99129,Q36405,1940
,"CYGNET","Smack built in Aberdeen in 1832",Q11446,"CYGNET",100837,Q36405,1832
,"CYNTHIA","Barque built in Aberdeen in 1842",Q11446,"CYNTHIA",100055,Q36405,1842
,"CYNTHIA","Ship built in Aberdeen in 1854",Q11446,"CYNTHIA",119234,Q36405,1854
,"CYRUS","Brigantine built in Aberdeen in 1819",Q11446,"CYRUS",135915,Q36405,1819
,"D","Lighter built in Aberdeen in 1895",Q11446,"D",100987,Q36405,1895
,"D.W. FITZGERALD","Steam Trawler built in Aberdeen in 1916",Q11446,"D.W. FITZGERALD",101308,Q36405,1916
,"DABULAMANZI","Steamer, Cargo built in Aberdeen in 1882",Q11446,"DABULAMANZI",100902,Q36405,1882
,"DAEDALUS","Sloop built in Aberdeen in 1820",Q11446,"DAEDALUS",136269,Q36405,1820
,"DAHLIA","Corvette built in Aberdeen in 1941",Q11446,"DAHLIA",99131,Q36405,1941
,"DAHLIA","Trawler built in Aberdeen in 1964",Q11446,"DAHLIA",101632,Q36405,1964
,"DAISY","Screw Steamer built in Aberdeen in 1912",Q11446,"DAISY",99828,Q36405,1912
,"DAISY II","Steam Herring Drifter built in Aberdeen in 1908",Q11446,"DAISY II",99781,Q36405,1908
,"DALE","Trawler built in Aberdeen in 1899",Q11446,"DALE",99661,Q36405,1899
,"DAMASCUS","Ship built in Aberdeen in 1857",Q11446,"DAMASCUS",99378,Q36405,1857
,"DAME CAROLINE HASLETT","Collier built in Aberdeen in 1950",Q11446,"DAME CAROLINE HASLETT",101541,Q36405,1950
,"DAMIER","Trawler built in Aberdeen in 1912",Q11446,"DAMIER",99829,Q36405,1912
,"DANDINI","Trawler built in Aberdeen in 1917",Q11446,"DANDINI",100430,Q36405,1917
,"DANIEL STROUD","Trawler built in Aberdeen in 1912",Q11446,"DANIEL STROUD",100392,Q36405,1912
,"DANUBE IV","Screw Tug - Steam built in Aberdeen in 1927",Q11446,"DANUBE IV",100522,Q36405,1927
,"DAPHNE","Brig built in Aberdeen in 1802",Q11446,"DAPHNE",152226,Q36405,1802
,"DARRA","Ship built in Aberdeen in 1865",Q11446,"DARRA",100162,Q36405,1865
,"DART","Schooner built in Aberdeen in 1844",Q11446,"DART",100067,Q36405,1844
,"DAUNTLESS","Hermaphrodite built in Aberdeen in 1827",Q11446,"DAUNTLESS",100831,Q36405,1827
,"DAVID BLAKE","Steam Trawler built in Aberdeen in 1918",Q11446,"DAVID BLAKE",101375,Q36405,1918
,"DAVID BUCHAN","Steam Trawler built in Aberdeen in 1918",Q11446,"DAVID BUCHAN",101368,Q36405,1918
,"DAVID JOHN","Trawler built in Aberdeen in 1969",Q11446,"DAVID JOHN",101733,Q36405,1969
,"DAVID OGILVIE","Trawler built in Aberdeen in 1948",Q11446,"DAVID OGILVIE",99187,Q36405,1948
,"DAVID POLLOCK","Collier built in Aberdeen in 1954",Q11446,"DAVID POLLOCK",101557,Q36405,1954
,"DAVID WOOD","Trawler built in Aberdeen in 1957",Q11446,"DAVID WOOD",99241,Q36405,1957
,"DAWN","Drifter built in Aberdeen in 1918",Q11446,"DAWN",99894,Q36405,1918
,"DAY","Sloop built in Aberdeen in 1786",Q11446,"DAY",182666,Q36405,1786
,"DAYBREAK","Steam Herring Drifter built in Aberdeen in 1918",Q11446,"DAYBREAK",99896,Q36405,1918
,"DEACON","Fishing Vessel built in Aberdeen in 1868",Q11446,"DEACON",152980,Q36405,1868
,"DEE","Steamer built in Aberdeen in 1873",Q11446,"DEE",100201,Q36405,1873
,"DEE","Steamer built in Aberdeen in 1884",Q11446,"DEE",100910,Q36405,1884
,"DEE","Schooner built in Aberdeen in 1799",Q11446,"DEE",112954,Q36405,1799
,"DEE","Schooner built in Aberdeen in 1846",Q11446,"DEE",152205,Q36405,1846
,"DEEMOUNT","Cargo built in Aberdeen in 1933",Q11446,"DEEMOUNT",99110,Q36405,1933
,"DEESIDE","Trawler built in Aberdeen in 1961",Q11446,"DEESIDE",99290,Q36405,1961
,"DEESIDE","Steamer built in Aberdeen in 1883",Q11446,"DEESIDE",100233,Q36405,1883
,"DEESIDE","Trawler built in Aberdeen in 1901",Q11446,"DEESIDE",100308,Q36405,1901
,"DEESIDE","Trawler built in Aberdeen in 1972",Q11446,"DEESIDE",150344,Q36405,1972
,"DEEVALE","Trawler built in Aberdeen in 1961",Q11446,"DEEVALE",99289,Q36405,1961
,"DEFIANCE","Trawler built in Aberdeen in 1966",Q11446,"DEFIANCE",99316,Q36405,1966
,"DEFIANCE","Smack built in Aberdeen in 1829",Q11446,"DEFIANCE",101798,Q36405,1829
,"DELIGHT","Brig built in Aberdeen in 1768",Q11446,"DELIGHT",110892,Q36405,1768
,"DELIGHT","Brig built in Aberdeen in 1773",Q11446,"DELIGHT",182667,Q36405,1773
,"DEMPSTER","Brig built in Aberdeen in 1786",Q11446,"DEMPSTER",111114,Q36405,1786
,"DENBIGH CASTLE","Corvette built in Aberdeen in 1944",Q11446,"DENBIGH CASTLE",99159,Q36405,1944
,"DENMORE","Steamer built in Aberdeen in 1878",Q11446,"DENMORE",100216,Q36405,1878
,"DEODARUS","Barque built in Aberdeen in 1868",Q11446,"DEODARUS",99601,Q36405,1868
,"DEVANHA","Steam Trawler built in Aberdeen in 1901",Q11446,"DEVANHA",99684,Q36405,1901
,"DEVANHA","Ship built in Aberdeen in 1864",Q11446,"DEVANHA",100161,Q36405,1864
,"DEVATARRA","Motor Fishing Vessel built in Aberdeen in 1930",Q11446,"DEVATARRA",101447,Q36405,1930
,"DEVERON","Schooner built in Aberdeen in 1820",Q11446,"DEVERON",99441,Q36405,1820
,"DEVONBROOK","Coaster built in Aberdeen in 1954",Q11446,"DEVONBROOK",99216,Q36405,1954
,"DEVOTION","Steam Herring Drifter built in Aberdeen in 1910",Q11446,"DEVOTION",100373,Q36405,1910
,"DEW-GENEN-NY","Trawler built in Aberdeen in 1976",Q11446,"DEW-GENEN-NY",101766,Q36405,1976
,"DHS","Steam Herring Drifter built in Aberdeen in 1915",Q11446,"DHS",99874,Q36405,1915
,"DIADEM","Brig built in Aberdeen in 1824",Q11446,"DIADEM",99452,Q36405,1824
,"DIADEM","Ship built in Aberdeen in 1796",Q11446,"DIADEM",152188,Q36405,1796
,"DIAMANTE","Steamer built in Aberdeen in 1878",Q11446,"DIAMANTE",100887,Q36405,1878
,"DIAMANTE","Steamer built in Aberdeen in 1899",Q11446,"DIAMANTE",100984,Q36405,1899
,"DIAMOND","Ship built in Aberdeen in 1806",Q11446,"DIAMOND",152186,Q36405,1806
,"DIAMOND","Brig built in Aberdeen in 1796",Q11446,"DIAMOND",152196,Q36405,1796
,"DIANA","Brig built in Aberdeen in 1791",Q11446,"DIANA",182669,Q36405,1791
,"DIANELLA","Corvette built in Aberdeen in 1941",Q11446,"DIANELLA",99130,Q36405,1941
,"DILIGENCE","Steam Herring Drifter built in Aberdeen in 1906",Q11446,"DILIGENCE",99724,Q36405,1906
,"DILIGENCE","Sloop built in Aberdeen in 1777",Q11446,"DILIGENCE",110891,Q36405,1777
,"DILIGENCE","Ship built in Aberdeen in 1797",Q11446,"DILIGENCE",152153,Q36405,1797
,"DILIGENCE","Sloop built in Aberdeen in 1768",Q11446,"DILIGENCE",182670,Q36405,1768
,"DINEIDDWG","Trawler built in Aberdeen in 1961",Q11446,"DINEIDDWG",99297,Q36405,1961
,"DISA","Steam Trawler built in Aberdeen in 1924",Q11446,"DISA",101421,Q36405,1924
,"DISCOVERY","Research Vessel built in Aberdeen in 1962",Q11446,"DISCOVERY",101614,Q36405,1962
,"DISPATCH","Ship built in Aberdeen in 1893",Q11446,"DISPATCH",100270,Q36405,1893
,"DISPATCH","Smack built in Aberdeen in 1818",Q11446,"DISPATCH",100815,Q36405,1818
,"DOGGERBANK","Lugger built in Aberdeen in 1867",Q11446,"DOGGERBANK",118893,Q36405,1867
,"DOLPHIN","Smack built in Aberdeen in 1815",Q11446,"DOLPHIN",99933,Q36405,1815
,"DOLPHIN","Sloop built in Aberdeen in 1798",Q11446,"DOLPHIN",112953,Q36405,1798
,"DON","Cargo built in Aberdeen in 1883",Q11446,"DON",99614,Q36405,1883
,"DON","Ship built in Aberdeen in 1814",Q11446,"DON",99927,Q36405,1814
,"DON","Screw Steamer built in Aberdeen in 1873",Q11446,"DON",100202,Q36405,1873
,"DON","Sloop built in Aberdeen in 1825",Q11446,"DON",112587,Q36405,1825
,"DON","Schooner built in Aberdeen in 1858",Q11446,"DON",113427,Q36405,1858
,"DON","Brig built in Aberdeen in 1802",Q11446,"DON",152201,Q36405,1802
,"DONAGHMORE","Coaster built in Aberdeen in 1925",Q11446,"DONAGHMORE",99058,Q36405,1925
,"DONSIDE","Trawler built in Aberdeen in 1961",Q11446,"DONSIDE",99287,Q36405,1961
,"DONSIDE","Steam Trawler built in Aberdeen in 1900",Q11446,"DONSIDE",99679,Q36405,1900
,"DONUM MARIS","Trawler built in Aberdeen in 1919",Q11446,"DONUM MARIS",100502,Q36405,1919
,"DONVALE","Trawler built in Aberdeen in 1961",Q11446,"DONVALE",99286,Q36405,1961
